date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_deaths,cases_per_million,deaths_per_million,test_per_million
2019-12-31,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-01,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-02,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-03,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-04,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-05,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-06,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-07,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-08,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-09,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-10,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-11,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-12,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-13,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-14,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-15,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-16,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-17,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-18,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-19,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-20,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-21,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-22,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-23,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-24,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-25,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-26,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-27,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-28,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-29,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-30,0.0,0.0,0,0,,0,0.0,0.0,
2020-01-31,3.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-01,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-02,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-03,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-04,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-05,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-06,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-07,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-08,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-09,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-10,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-11,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-12,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-13,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-14,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-15,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-16,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-17,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-18,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-19,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-20,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-21,0.0,3.0,0,0,,0,0.04961808299940915,0.0,
2020-02-22,14.0,17.0,0,0,,0,0.28116913699665186,0.0,
2020-02-23,62.0,79.0,2,2,,2,1.3066095189844409,0.0330787219996061,
2020-02-24,53.0,132.0,0,2,,2,2.1831956519740023,0.0330787219996061,
2020-02-25,97.0,229.0,4,6,,6,3.7875136689548983,0.0992361659988183,
2020-02-26,93.0,322.0,5,11,,11,5.325674241936582,0.18193297099783354,
2020-02-27,78.0,400.0,1,12,,12,6.61574439992122,0.1984723319976366,
2020-02-28,250.0,650.0,5,17,,17,10.750584649871982,0.28116913699665186,
2020-02-29,238.0,888.0,4,21,,21,14.686952567825108,0.34732658099586405,
2020-03-01,240.0,1128.0,8,29,,29,18.656399207777838,0.47964146899428844,
2020-03-02,561.0,1689.0,6,35,,35,27.93498072866735,0.5788776349931067,
2020-03-03,347.0,2036.0,17,52,,52,33.67413899559901,0.8600467719897585,
2020-03-04,466.0,2502.0,28,80,,80,41.38148122150723,1.323148879984244,
2020-03-05,587.0,3089.0,27,107,,107,51.09008612839162,1.7697116269789264,
2020-03-06,769.0,3858.0,41,148,,148,63.80885473724016,2.447825427970851,
2020-03-07,778.0,4636.0,49,197,,197,76.67647759508694,3.2582541169612007,
2020-03-08,1247.0,5883.0,36,233,,233,97.30106076184134,3.8536711129541104,
2020-03-09,1492.0,7375.0,133,366,,366,121.97778737354749,6.053406125927916,
2020-03-10,1797.0,9172.0,98,464,,464,151.69901909019356,7.674263503908615,
2020-03-11,977.0,10149.0,167,631,,631,167.85797478700115,10.436336790875725,
2020-03-12,2313.0,12462.0,196,827,,827,206.1135167795456,13.678051546837121,
2020-03-13,2651.0,15113.0,189,1016,,1016,249.95936279002348,16.8039907757999,
2020-03-14,2547.0,17660.0,252,1268,,1268,292.0851152565219,20.971909747750267,
2020-03-15,3497.0,21157.0,173,1441,,1441,349.9232606728331,23.833219200716194,
2020-03-16,2823.0,23980.0,370,1811,,1811,396.6138767752771,29.95278277064332,
2020-03-17,4000.0,27980.0,347,2158,,2158,462.7713207744893,35.69194103757498,
2020-03-18,3526.0,31506.0,347,2505,,2505,521.0891076597949,41.43109930450664,
2020-03-19,4207.0,35713.0,473,2978,,2978,590.6701993859663,49.254217057413484,
2020-03-20,5322.0,41035.0,429,3407,,3407,678.6926786269181,56.34960292632899,
2020-03-21,5986.0,47021.0,625,4032,,4032,777.6972935717392,66.6867035512059,
2020-03-22,6557.0,53578.0,795,4827,,4827,886.1458836474478,79.83549554604932,
2020-03-23,5560.0,59138.0,649,5476,,5476,978.1047308063527,90.5695408349215,
2020-03-24,4789.0,63927.0,601,6077,,6077,1057.3117306344095,100.50969679580314,
2020-03-25,5249.0,69176.0,743,6820,,6820,1144.1268365223757,112.7984420186568,
2020-03-26,5210.0,74386.0,685,7505,,7505,1230.2969073313495,124.12790430352189,
2020-03-27,6153.0,80539.0,660,8165,,8165,1332.0635955631378,135.0438825633919,
2020-03-28,5959.0,86498.0,971,9136,,9136,1430.6216477609642,151.10360209420065,
2020-03-29,5974.0,92472.0,887,10023,,10023,1529.4277903737875,165.77401530102597,
2020-03-30,5217.0,97689.0,758,10781,,10781,1615.71363670976,178.31085093887668,
2020-03-31,4050.0,101739.0,810,11591,,11591,1682.6980487589624,191.70773334871714,
2020-04-01,4053.0,105792.0,839,12430,,12430,1749.7320788911643,205.58425722755192,
2020-04-02,4782.0,110574.0,727,13157,,13157,1828.8233031922223,217.6083726744087,
2020-04-03,4668.0,115242.0,760,13917,,13917,1906.029040339303,230.17828703425903,
2020-04-04,4585.0,119827.0,764,14681,,14681,1981.8620105234,242.81435883810857,
2020-04-05,4805.0,124632.0,681,15362,,15362,2061.3336401274537,254.07766367897443,
2020-04-06,4316.0,128948.0,527,15889,,15889,2132.7175222026035,262.79390692587066,
2020-04-07,3599.0,132547.0,636,16525,,16525,2192.242682440895,273.3129405217454,
2020-04-08,3039.0,135586.0,604,17129,,17129,2242.5058005192964,283.30271456562645,
2020-04-09,3836.0,139422.0,540,17669,,17669,2305.9507893145405,292.23396950552007,
2020-04-10,4204.0,143626.0,612,18281,,18281,2375.482262957713,302.35605843739955,
2020-04-11,3951.0,147577.0,570,18851,,18851,2440.8292782679346,311.7834942072873,
2020-04-12,4694.0,152271.0,619,19470,,19470,2518.46503880101,322.0213586661654,
2020-04-13,4092.0,156363.0,431,19901,,19901,2586.144104012204,329.14982325708047,
2020-04-14,3153.0,159516.0,564,20465,,20465,2638.2927092445834,338.4780228609694,
2020-04-15,2972.0,162488.0,604,21069,,21069,2687.447690135998,348.46779690485045,
2020-04-16,2667.0,165155.0,578,21647,,21647,2731.5581659224727,358.02754756273663,
2020-04-17,3786.0,168941.0,525,22172,,22172,2794.176186667727,366.7107120876332,
2020-04-18,3493.0,172434.0,575,22747,,22747,2851.948174640039,376.22084466251994,
2020-04-19,3491.0,175925.0,480,23227,,23227,2909.6870838903515,384.1597379424254,
2020-04-20,3047.0,178972.0,433,23660,7841.0,23660,2960.082516856751,391.3212812553401,129.6851295994557
2020-04-21,2256.0,181228.0,454,24114,28095.0,24114,2997.395315272307,398.83015114925075,594.3584768889224
2020-04-22,2729.0,183957.0,534,24648,44248.0,24648,3042.5312314407697,407.66216992314554,1326.1921224082078
2020-04-23,3370.0,187327.0,437,25085,37083.0,25085,3098.2688780101057,414.8898706800595,1939.521246363904
2020-04-24,2646.0,189973.0,464,25549,95273.0,25549,3142.0320272155845,422.5641341839681,3515.2757868981403
2020-04-25,3021.0,192994.0,420,25969,38676.0,25969,3191.99743679599,429.5106658038854,4154.952112926523
2020-04-26,2357.0,195351.0,415,26384,24113.0,26384,3230.9807106725257,436.37450061880367,4553.765724714774
2020-04-27,2324.0,197675.0,260,26644,26678.0,26644,3269.418185636068,440.67473447875244,4995.0027974675195
2020-04-28,1739.0,199414.0,333,26977,37554.0,26977,3298.180134414725,446.1823416916869,5616.121960454123
2020-04-29,2091.0,201505.0,382,27359,38589.0,27359,3332.7639382653133,452.50037759361163,6254.359362075523
2020-04-30,2086.0,203591.0,323,27682,41441.0,27682,3367.2650453109027,457.842591196548,6939.7670212683615
2020-05-01,1872.0,205463.0,285,27967,43732.0,27967,3398.226729102534,462.55630908149186,7663.066356511748
2020-05-02,1965.0,207428.0,269,28236,31231.0,28236,3430.726573467147,467.0053971904389,8179.607139896597
2020-05-03,1900.0,209328.0,474,28710,27047.0,28710,3462.151359366773,474.8450543043455,8626.94723685827
2020-05-04,1389.0,210717.0,174,28884,22999.0,28884,3485.124531795499,477.72290311831125,9007.33600049274
2020-05-05,1221.0,211938.0,195,29079,32211.0,29079,3505.319091576259,480.9480785132729,9540.085357657397
2020-05-06,1075.0,213013.0,236,29315,37771.0,29315,3523.0989046510467,484.8513677092264,10164.793561980958
2020-05-07,1444.0,214457.0,369,29684,13665.0,29684,3546.9817419347623,490.9543919181537,10390.803930043267
2020-05-08,1401.0,215858.0,274,29958,45428.0,29958,3570.1533866954865,495.4861768320998,11142.15402154232
2020-05-09,1327.0,217185.0,243,30201,36091.0,30201,3592.1011187422255,499.5052415550519,11739.076099386211
2020-05-10,1083.0,218268.0,194,30395,31384.0,30395,3610.013246705012,502.7138775890137,12258.14740500403
2020-05-11,802.0,219070.0,165,30560,25823.0,30560,3623.277814226854,505.44287215398117,12685.243324101944
2020-05-12,744.0,219814.0,179,30739,39620.0,30739,3635.5830988107073,508.40341777294594,13340.532806914141
2020-05-13,1402.0,221216.0,172,30911,37049.0,30911,3658.7712829324314,511.24818786491204,13953.299592595844
2020-05-14,888.0,222104.0,195,31106,41131.0,31106,3673.4582355002563,514.4733632598736,14633.580049878743
2020-05-15,992.0,223096.0,262,31368,39027.0,31368,3689.865281612061,518.8066758418221,15279.061691618057
2020-05-16,789.0,223885.0,242,31610,40657.0,31610,3702.9148374409056,522.8092012037744,15951.502491787049
2020-05-17,875.0,224760.0,153,31763,33505.0,31763,3717.3867783157334,525.3397234367443,16505.65378208545
2020-05-18,675.0,225435.0,145,31908,26101.0,31908,3728.5508469906003,527.7379307817157,16937.34764354131
2020-05-19,451.0,225886.0,99,32007,40226.0,32007,3736.0100988015115,529.3753275206961,17602.659979119388
2020-05-20,813.0,226699.0,162,32169,38617.0,32169,3749.4565992943517,532.0547040026643,18241.36048284878
2020-05-21,665.0,227364.0,161,32330,40644.0,32330,3760.4552743592203,534.7175411236326,18913.586271324777
2020-05-22,642.0,228006.0,156,32486,42987.0,32486,3771.073544121094,537.2976814396019,19624.56378262331
2020-05-23,652.0,228658.0,130,32616,42579.0,32616,3781.8572074929657,539.4477983695763,20328.793234633926
2020-05-24,669.0,229327.0,119,32735,34206.0,32735,3792.922040001834,541.4159823285528,20894.538616993188
2020-05-25,531.0,229858.0,50,32785,20676.0,32785,3801.7044406927293,542.242950378543,21236.506445025116
2020-05-26,300.0,230158.0,92,32877,33944.0,32877,3806.6662489926703,543.7645715905248,21797.91851480243
2020-05-27,397.0,230555.0,78,32955,37299.0,32955,3813.232375309592,545.0546417485095,22414.820140734086
2020-05-28,584.0,231139.0,117,33072,39838.0,33072,3822.891362133477,546.9897469854865,23073.71520424424
2020-05-29,593.0,231732.0,70,33142,38233.0,33142,3832.6992032063604,548.1475022554727,23706.064593349707
2020-05-30,516.0,232248.0,87,33229,36051.0,33229,3841.233513482259,549.5864266624556,24302.325096753608
2020-05-31,416.0,232664.0,111,33340,28948.0,33340,3848.1138876581767,551.4222957334337,24781.106518975907
2020-06-01,355.0,233019.0,75,33415,18053.0,33415,3853.9853608131066,552.6627478084189,25079.69160310535
2020-06-02,178.0,233197.0,60,33475,25628.0,33475,3856.9293670710717,553.6551094684071,25503.562346808303
2020-06-03,318.0,233515.0,55,33530,20035.0,33530,3862.1888838690093,554.5647743233963,25834.928444439356
2020-06-04,321.0,233836.0,71,33601,27451.0,33601,3867.498018749946,555.7390689543822,26288.95044324495
2020-06-05,177.0,234013.0,88,33689,40470.0,33689,3870.425485646911,557.1945327223649,26958.29838290698
2020-06-06,518.0,234531.0,85,33774,34036.0,33774,3878.992874644809,558.6003784073482,27521.232073896277
2020-06-07,270.0,234801.0,72,33846,27894.0,33846,3883.458502114756,559.791212399334,27982.581009624784
2020-06-08,197.0,234998.0,53,33899,16301.0,33899,3886.7167562317168,560.6677985323236,28252.189133282573
2020-06-09,280.0,235278.0,65,33964,32200.0,33964,3891.347777311662,561.7428569973108,28784.75655747623
2020-06-10,283.0,235561.0,79,34043,37865.0,34043,3896.0284164746063,563.0494665162952,29411.019461733773
2020-06-11,202.0,235763.0,71,34114,32991.0,34114,3899.3693673965663,564.2237611472813,29956.669520478277
2020-06-12,379.0,236142.0,53,34167,37651.0,34167,3905.6377852154915,565.1003472802707,30579.39300148186
2020-06-13,163.0,236305.0,56,34223,32880.0,34223,3908.3337010584596,566.0265514962598,31123.207191155383
2020-06-14,346.0,236651.0,78,34301,29545.0,34301,3914.0563199643916,567.3166216542444,31611.862611894565
2020-06-15,338.0,236989.0,44,34345,17463.0,34345,3919.646623982325,568.0443535382358,31900.689473034126
2020-06-16,301.0,237290.0,26,34371,27762.0,34371,3924.624971643266,568.4743769242306,32359.85521311066
2020-06-17,210.0,237500.0,34,34405,33957.0,34405,3928.098237453224,569.0367151982239,32921.48229458097
2020-06-18,328.0,237828.0,43,34448,32921.0,34448,3933.5231478611595,569.7479077212155,33465.97459805549
2020-06-19,331.0,238159.0,66,34514,28570.0,34514,3938.9976763520945,570.8395055472024,33938.50414181986
2020-06-20,297.5,238456.5,47,34561,29875.0,34561,3943.918136249536,571.6168555141932,34432.61755168898
2020-06-21,264.0,238720.5,49,34610,24581.0,34610,3948.2845275534837,572.4272842031835,34839.17158442514
2020-06-22,224.0,238944.5,24,34634,16152.0,34634,3951.9893444174395,572.8242288671788,35106.31534329395
2020-06-23,221.0,239165.5,23,34657,23225.0,34657,3955.644543198396,573.2046341701742,35490.44200251438
2020-06-24,113.0,239278.5,18,34675,30237.0,34675,3957.513490991374,573.5023426681707,35990.542661065425
2020-06-25,577.0,239855.5,-31,34644,29421.0,34644,3967.05670228826,572.9896224771768,36477.14720104063
2020-06-26,296.0,240151.5,34,34678,28331.0,34678,3971.952353144202,573.5519607511701,36945.72383752605
2020-06-27,255.0,240406.5,30,34708,29721.0,34708,3976.1698901991517,574.0481415811643,37437.2901858012
2020-06-28,175.0,240581.5,8,34716,21183.0,34716,3979.0642783741173,574.1804564691627,37787.64346986003
2020-06-29,174.0,240755.5,22,34738,15484.0,34738,3981.942127188083,574.5443224111583,38043.73893558097
2020-06-30,126.0,240881.5,6,34744,28471.0,34744,3984.026086674058,574.6435585771571,38514.63108260637
2020-07-01,142.0,241023.5,23,34767,29325.0,34767,3986.37467593603,575.0239638801526,38999.647843925595
2020-07-02,182.0,241205.5,21,34788,29147.0,34788,3989.3848396379944,575.3712904611485,39481.72059898685
2020-07-03,201.0,241406.5,30,34818,25680.0,34818,3992.709251198955,575.8674712911426,39906.45138946179
2020-07-04,223.0,241629.5,15,34833,28946.0,34833,3996.3975287019107,576.1155617061396,40385.19973296209
2020-07-05,235.0,241864.5,21,34854,21166.0,34854,4000.284278536865,576.4628882871355,40735.27184788392
2020-07-06,192.0,242056.5,7,34861,13771.0,34861,4003.459835848827,576.5786638141341,40963.035388212214
2020-07-07,208.0,242264.5,8,34869,22490.0,34869,4006.9000229367857,576.7109787021325,41335.005617097784
2020-07-08,137.0,242401.5,30,34899,28679.0,34899,4009.165915393759,577.2071595321266,41809.337951211135
2020-07-09,193.0,242594.5,15,34914,29947.0,34914,4012.3580120667207,577.4552499471237,42304.642195072236
2020-07-10,214.0,242808.5,12,34926,27251.0,34926,4015.8974353206786,577.6537222791213,42755.35632167787
2020-07-11,276.0,243084.5,12,34938,25449.0,34938,4020.462298956624,577.852194611119,43176.266519761855
2020-07-12,188.0,243272.5,7,34945,23061.0,34945,4023.571698824587,577.9679701381176,43557.680723778314
2020-07-13,234.0,243506.5,9,34954,14006.0,34954,4027.4419092985413,578.1168243871158,43789.331013941555
2020-07-14,169.0,243675.5,13,34967,24222.0,34967,4030.237061307508,578.3318360801132,44189.94741607879
2020-07-15,114.0,243789.5,17,34984,28392.0,34984,4032.1225484614856,578.6130052171098,44659.53295358519
2020-07-16,162.0,243951.5,13,34997,28089.0,34997,4034.8019249434537,578.8280169101073,45124.10706470866
2020-07-17,230.0,244181.5,20,35017,28661.0,35017,4038.6059779734082,579.1588041301034,45598.14169032402
2020-07-18,231.0,244412.5,11,35028,27569.0,35028,4042.4265703643628,579.3407371011012,46054.11533372759
2020-07-19,249.0,244661.5,14,35042,20621.0,35042,4046.544871253314,579.5722881550985,46395.17349690453
2020-07-20,218.0,244879.5,3,35045,14121.0,35045,4050.150451951271,579.6219062380978,46628.72581358274
2020-07-21,190.0,245069.5,13,35058,23915.0,35058,4053.2929305412335,579.8369179310953,47024.264631893035
2020-07-22,128.0,245197.5,15,35073,29288.0,35073,4055.409968749208,580.0850083460923,47508.66943685526
2020-07-23,280.0,245477.5,9,35082,33018.0,35082,4060.040989829153,580.2338625950906,48054.766058346766
2020-07-24,306.0,245783.5,10,35092,28970.0,35092,4065.102034295093,580.3992562050886,48533.91134651106
2020-07-25,252.0,246035.5,5,35097,28059.0,35097,4069.269953267043,580.4819530100876,48997.98927680453
2020-07-26,274.0,246309.5,5,35102,25177.0,35102,4073.801738180989,580.5646498150867,49414.40076869657
2020-07-27,254.0,246563.5,5,35107,19374.0,35107,4078.002735874939,580.6473466200856,49734.834348706754
2020-07-28,168.0,246731.5,5,35112,25341.0,35112,4080.7813485229062,580.7300434250847,50153.95829580277
2020-07-29,202.0,246933.5,11,35123,30875.0,35123,4084.1222994448663,580.9119763960825,50664.611066671685
2020-07-30,288.0,247221.5,6,35129,33396.0,35129,4088.8856354128097,581.0112125620814,51216.95956662111
2020-07-31,382.0,247603.5,3,35132,29686.0,35132,4095.2036713147345,581.0608306450807,51707.94703726126
2020-08-01,379.0,247982.5,9,35141,31905.0,35141,4101.47208913366,581.2096848940789,52235.63534995998
2020-08-02,295.0,248277.5,5,35146,24496.0,35146,4106.351200628602,581.292381699078,52640.78353701116
2020-08-03,238.0,248515.5,8,35154,13467.0,35154,4110.287568546555,581.4246965870764,52863.5191115955
2020-08-04,159.0,248674.5,12,35166,23491.0,35166,4112.917326945523,581.623168919074,53252.04524084187
2020-08-05,190.0,248864.5,5,35171,29739.0,35171,4116.059805535486,581.7058657240731,53743.90929761502
2020-08-06,384.0,249248.5,10,35181,32169.0,35181,4122.41092015941,581.871259334071,54275.964001617685
2020-08-07,401.0,249649.5,6,35187,30392.0,35187,4129.0432039203315,581.9704955000699,54778.6282611237
2020-08-08,552.0,250201.5,3,35190,26631.0,35190,4138.172931192223,582.0201135830694,55219.08798390945
2020-08-09,347.0,250548.5,13,35203,22773.0,35203,4143.912089459154,582.2351252760667,55595.73885195797
2020-08-10,463.0,251011.5,2,35205,10904.0,35205,4151.569813602063,582.2682039980664,55776.084044299816
2020-08-11,259.0,251270.5,4,35209,22063.0,35209,4155.853508101012,582.3343614420655,56140.99196603848
2020-08-12,412.0,251682.5,6,35215,27330.0,35215,4162.667724832931,582.4335976080644,56593.01270216309
2020-08-13,476.0,252158.5,10,35225,25629.0,35225,4170.540460668837,582.5989912180625,57016.89998522704
2020-08-14,522.0,252680.5,6,35231,24868.0,35231,4179.174007110734,582.6982273840613,57428.20081457015
2020-08-15,574.0,253254.5,3,35234,25937.0,35234,4188.667600324621,582.7478454670606,57857.18222082204
2020-08-16,629.0,253883.5,158,35392,22470.0,35392,4199.0708583934975,585.3610645050295,58228.82166248761
2020-08-17,477.0,254360.5,4,35396,21379.0,35396,4206.9601335904035,585.4272219490288,58582.4166613024
2020-08-18,320.0,254680.5,4,35400,32687.0,35400,4212.252729110341,585.4933793930279,59123.038754302965
2020-08-19,401.0,255081.5,5,35405,41290.0,35405,4218.885012871261,585.576076198027,59805.94896998483
2020-08-20,642.0,255723.5,7,35412,49662.0,35412,4229.503282633135,585.6918517250256,60627.32671595705
2020-08-21,840.0,256563.5,6,35418,44943.0,35418,4243.3963458729695,585.7910878910244,61370.6552173712
2020-08-22,947.0,257510.5,9,35427,46613.0,35427,4259.059120739783,585.9399421400226,62141.60445165502
2020-08-23,1071.0,258581.5,3,35430,47463.0,35430,4276.7727763705725,585.9895602230221,62926.61214278867
2020-08-24,1209.0,259790.5,7,35437,33358.0,35437,4296.768863819334,586.1053357500207,63478.3321470201
2020-08-25,953.0,260743.5,4,35441,45798.0,35441,4312.530874852147,586.1714931940198,64235.80180208908
2020-08-26,876.0,261619.5,4,35445,58054.0,35445,4327.019355087974,586.2376506380191,65195.97786557164
2020-08-27,1366.0,262985.5,13,35458,57640.0,35458,4349.612122213704,586.4526623310165,66149.3066336003
2020-08-28,1409.0,264394.5,5,35463,65135.0,35463,4372.916081862428,586.5353591360156,67226.59791232247
2020-08-29,1460.0,265854.5,9,35472,64294.0,35472,4397.0635489221395,586.6842133850138,68289.9795884438
2020-08-30,1444.0,267298.5,1,35473,53541.0,35473,4420.946386205856,586.7007527460136,69175.51351573426
2020-08-31,1365.0,268663.5,4,35477,42583.0,35477,4443.5226139705865,586.7669101900128,69879.80912518887
2020-09-01,996.0,269659.5,6,35483,54395.0,35483,4459.99581752639,586.8661463560117,70779.46766677315
2020-09-02,975.0,270634.5,8,35491,,35491,4476.121694501198,586.9984612440101,
2020-09-03,1326.0,271960.5,6,35497,,35497,4498.052887186937,587.0976974100089,
